Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4u7,C_0402_1005Metric,146.799999,-29.000001,90.0,bottom
C2,4u7,C_0402_1005Metric,104.481358,-78.892584,10.0,bottom
C3,1u,C_0402_1005Metric,104.290342,-79.975878,10.0,bottom
C4,4u7,C_0402_1005Metric,101.255283,-82.79162,280.0,bottom
C5,1u,C_0402_1005Metric,102.338573,-82.98263,280.0,bottom
C6,100n,C_0402_1005Metric,109.870046,-81.506472,10.0,bottom
C7,4u7,C_0402_1005Metric,108.936786,-84.146078,280.0,bottom
C8,1u,C_0402_1005Metric,107.853498,-83.955064,280.0,bottom
C9,1u,C_0402_1005Metric,96.02792,-79.037263,280.0,bottom
C10,4u7,C_0402_1005Metric,94.907174,-84.414342,10.0,bottom
C11,4u7,C_0402_1005Metric,95.680621,-81.006882,100.0,bottom
C12,12p,C_0402_1005Metric,99.232496,-74.713041,190.0,bottom
C13,12p,C_0402_1005Metric,99.024122,-75.894807,190.0,bottom
C14,100n,C_0402_1005Metric,86.480109,-99.78409,10.0,bottom
D1,1N4148WT,D_SOD-523,30.143959,-24.330783,280.0,bottom
D2,1N4148WT,D_SOD-523,48.904543,-27.638785,280.0,bottom
D3,1N4148WT,D_SOD-523,68.905635,-23.911559,280.0,bottom
D4,1N4148WT,D_SOD-523,88.493222,-22.529409,280.0,bottom
D5,1N4148WT,D_SOD-523,106.84031,-28.18248,280.0,bottom
D6,1N4148WT,D_SOD-523,125.184208,-33.853624,280.0,bottom
D7,1N4148WT,D_SOD-523,160.31536,-36.389192,260.0,bottom
D8,1N4148WT,D_SOD-523,178.662448,-30.736123,260.0,bottom
D9,1N4148WT,D_SOD-523,197.009537,-25.083049,260.0,bottom
D10,1N4148WT,D_SOD-523,216.597126,-26.465203,260.0,bottom
D11,1N4148WT,D_SOD-523,236.59821,-30.192421,260.0,bottom
D12,1N4148WT,D_SOD-523,255.358798,-26.884424,260.0,bottom
D13,1N4148WT,D_SOD-523,26.83596,-43.091373,280.0,bottom
D14,1N4148WT,D_SOD-523,45.596549,-46.399371,280.0,bottom
D15,1N4148WT,D_SOD-523,65.597636,-42.672146,280.0,bottom
D16,1N4148WT,D_SOD-523,85.185221,-41.290001,280.0,bottom
D17,1N4148WT,D_SOD-523,103.532312,-46.943068,280.0,bottom
D18,1N4148WT,D_SOD-523,121.8794,-52.59614,280.0,bottom
D19,1N4148WT,D_SOD-523,163.623358,-55.149783,260.0,bottom
D20,1N4148WT,D_SOD-523,181.970446,-49.49671,260.0,bottom
D21,1N4148WT,D_SOD-523,200.317537,-43.84364,260.0,bottom
D22,1N4148WT,D_SOD-523,219.905124,-45.22579,260.0,bottom
D23,1N4148WT,D_SOD-523,239.90621,-48.953013,260.0,bottom
D24,1N4148WT,D_SOD-523,258.666798,-45.645016,260.0,bottom
D25,1N4148WT,D_SOD-523,23.527961,-61.851959,280.0,bottom
D26,1N4148WT,D_SOD-523,42.288548,-65.159956,280.0,bottom
D27,1N4148WT,D_SOD-523,62.289637,-61.432736,280.0,bottom
D28,1N4148WT,D_SOD-523,81.877223,-60.050583,280.0,bottom
D29,1N4148WT,D_SOD-523,100.224312,-65.703658,280.0,bottom
D30,1N4148WT,D_SOD-523,118.571396,-71.356731,280.0,bottom
D31,1N4148WT,D_SOD-523,166.931354,-73.91037,260.0,bottom
D32,1N4148WT,D_SOD-523,185.278444,-68.257297,260.0,bottom
D33,1N4148WT,D_SOD-523,203.625533,-62.604226,260.0,bottom
D34,1N4148WT,D_SOD-523,223.213122,-63.986377,260.0,bottom
D35,1N4148WT,D_SOD-523,243.214208,-67.713596,260.0,bottom
D36,1N4148WT,D_SOD-523,261.974793,-64.405603,260.0,bottom
D37,1N4148WT,D_SOD-523,20.219965,-80.612545,280.0,bottom
D38,1N4148WT,D_SOD-523,38.980552,-83.920546,280.0,bottom
